"";"CC34_36_S5";"CC35_S16";"CC37_1_S6";"CC37_2_S31";"CC38_S32";"CC39_S33";"CC41_S34";"CC42_1_S17";"CC42_2_S35";"CC45_S15";"CCR43_S36";"CCR44_S37";"CCR45_S38";"CCR47_S39";"CCR48_S40";"CCR50_S20";"CCR51_S19";"CCR55_S7";"CCR56_S8";"CCR62_S18";"CR18_S13";"CR19_S14";"CR23_S3";"CR24_S4";"CR29_S12";"CR31_S26";"CR32_S27";"CR33_S28";"CR35_S29";"CR36_S30";"CV1_S1";"CV13_S10";"CV14_S11";"CV16_S2";"CV25_S21";"CV26_S22";"CV27_S23";"CV29_S24";"CV30_S25";"CV5_S9"
"ASV139";"0";"0";"0";"192";"78";"26";"0";"0";"258";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"280";"50";"403";"129";"251";"41"
"ASV140";"30";"56";"25";"0";"0";"27";"55";"0";"0";"0";"37";"133";"31";"74";"136";"41";"49";"0";"0";"168";"29";"91";"0";"0";"0";"0";"145";"0";"170";"151";"69";"30";"0";"0";"45";"45";"0";"45";"0";"15"
"ASV141";"69";"0";"104";"119";"51";"0";"111";"0";"14";"74";"0";"22";"0";"0";"0";"599";"74";"0";"70";"66";"64";"24";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"53";"37";"18";"40";"0"
"ASV142";"68";"0";"12";"57";"42";"0";"113";"11";"45";"10";"58";"178";"14";"14";"27";"0";"0";"29";"275";"9";"17";"32";"46";"0";"6";"0";"71";"11";"49";"76";"51";"0";"7";"0";"36";"104";"11";"60";"125";"0"
"ASV143";"0";"1161";"0";"0";"0";"0";"0";"192";"0";"276";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30"
"ASV144";"0";"0";"0";"27";"22";"109";"27";"275";"11";"0";"59";"140";"71";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"23";"0";"0";"0";"0";"0";"0";"0";"28";"147";"212";"379";"29";"0"
"ASV145";"29";"0";"0";"0";"27";"0";"0";"49";"0";"268";"12";"17";"0";"42";"101";"0";"0";"25";"72";"0";"17";"0";"0";"0";"225";"17";"53";"0";"79";"24";"414";"14";"0";"51";"0";"0";"0";"0";"0";"47"
"ASV146";"0";"0";"0";"0";"0";"77";"29";"0";"0";"608";"93";"62";"18";"99";"0";"11";"140";"0";"0";"298";"0";"0";"0";"0";"0";"0";"0";"0";"18";"21";"0";"0";"0";"0";"0";"0";"107";"0";"0";"0"
"ASV147";"0";"0";"0";"44";"150";"0";"0";"0";"0";"0";"0";"0";"0";"12";"10";"0";"0";"0";"0";"0";"0";"0";"13";"553";"10";"0";"248";"0";"0";"0";"0";"0";"46";"0";"92";"147";"30";"23";"111";"82"
"ASV148";"70";"83";"93";"0";"0";"0";"0";"72";"0";"54";"0";"27";"0";"45";"0";"33";"60";"25";"99";"198";"10";"15";"45";"110";"0";"25";"130";"86";"77";"25";"118";"0";"18";"0";"0";"0";"0";"0";"0";"39"
"ASV149";"43";"0";"51";"18";"21";"11";"369";"115";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"573";"23";"49";"0";"50";"113";"14";"7";"0"
"ASV150";"0";"311";"0";"0";"0";"0";"0";"59";"0";"134";"0";"0";"0";"24";"59";"34";"0";"0";"0";"0";"12";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"812";"45";"0";"0"
"ASV151";"0";"0";"0";"5";"0";"6";"382";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"8";"400";"694";"0"
